Acadia National Park,44.35,-68.21
Arches National Park,38.68,-109.57
Big Bend National Park,29.25,-103.25
Biscayne National Park,25.65,-80.08
Black Canyon of the Gunnison National Park,38.57,-107.72
Bryce Canyon National Park,37.57,-112.18
Canyonlands National Park,38.20,-109.93
Capitol Reef National Park,38.20,-111.17
Carlsbad Caverns National Park,32.17,-104.44
Channel Islands National Park,34.01,-119.42
Crater Lake National Park,42.94,-122.1
Cuyahoga Valley National Park,41.24,-81.55
Denali National Park and Preserve,63.33,-150.5
Death Valley National Park,36.24,-116.82
Dry Tortugas National Park,24.63,-82.87
Everglades National Park,25.32,-80.93
Glacier National Park,48.8,-114
Glacier Bay National Park and Preserve,58.5,-137
Great Basin National Park,38.98,-114.3
Grand Canyon National Park,36.06,-112.14
Great Sand Dunes National Park and Preserve,37.73,-105.51
Great Smoky Mountains National Park,35.68,-83.53
Grand Teton National Park,43.73,-110.8
Guadalupe Mountains National Park,31.92,-104.87
Haleakala National Park,20.72,-156.17
Hawaii Volcanoes National Park,19.38,-155.2
Hot Springs National Park,34.51,-93.05
Isle Royale National Park,48.1,-88.55
Joshua Tree National Park,33.79,-115.9
Katmai National Park and Preserve,58.5,-155
Kenai Fjords National Park,59.92,-149.65
Kobuk Valley National Park,67.55,-159.28
Lake Clark National Park and Preserve,60.97,-153.42
Lassen Volcanic National Park,40.49,-121.51
Mammoth Cave National Park,37.18,-86.1
Mesa Verde National Park,37.18,-108.49
Mount Rainier National Park,46.85,-121.75
North Cascades National Park,48.7,-121.2
Olympic National Park,47.97,-123.5
Petrified Forest National Park,35.07,-109.78
Pinnacles National Park,36.48,-121.16
Rocky Mountain National Park,40.4,-105.58
Saguaro National Park,32.25,-110.5
Sequoia and Kings Canyon National Parks,36.43,-118.68
Shenandoah National Park,38.53,-78.35
Theodore Roosevelt National Park,46.97,-103.45
Voyageurs National Park,48.5,-92.88
Wind Cave National Park,43.57,-103.48
Wrangell - St Elias National Park and Preserve,61,-142
Yosemite National Park,37.83,-119.5
Zion National Park,37.3,-113.05